method,transformation,dataset,precision,recall,f1,tp,fp,fn,total_records,true_matches,predicted_matches,cost_usd,wall_time_seconds
levenshtein,scrambled,amazon-google,0.708018154311649,0.42048517520215634,0.5276211950394588,468,193,645,1113,1113,661,,
llm,ciphered_letters,amazon-google,0.7340569877883311,0.48607367475292,0.5848648648648648,541,196,572,1113,1113,737,,
llm,ciphered_words,amazon-google,0.7824074074074074,0.4555256064690027,0.575809199318569,507,141,606,1113,1113,648,,
llm,original,amazon-google,0.8758901322482198,0.7735849056603774,0.8215648854961832,861,122,252,1113,1113,983,,
llm,scrambled,amazon-google,0.7569659442724458,0.4393530997304582,0.5559977259806709,489,157,624,1113,1113,646,,
llm_claude,original,amazon-google,0.9473094170403588,0.7592093441150045,0.8428927680798006,845,47,268,1113,1113,892,12.848978999999993,23555.09273004532
llm_gpt4o,ciphered_letters,amazon-google,0.7647610121836926,0.7331536388140162,0.7486238532110092,816,251,297,1113,1113,1067,22.32864250000001,22333.537853956223
llm_gpt4o,ciphered_words,amazon-google,0.769811320754717,0.7331536388140162,0.7510354348826507,816,244,297,1113,1113,1060,14.23356250000001,9313.803388118744
llm_gpt4o,original,amazon-google,0.9152073732718894,0.8921832884097035,0.9035486806187444,993,92,120,1113,1113,1085,10.404727500000002,4734.18890786171
llm_gpt4o,scrambled,amazon-google,0.8546775658492279,0.8454627133872417,0.8500451671183378,941,160,172,1113,1113,1101,17.273774999999997,2241.635333776474
llm_gpt4o_mini_token_fallback,ciphered_letters,amazon-google,0.6587374199451053,0.6469002695417789,0.6527651858567544,720,373,393,1113,1113,1093,1.2864487499999993,2798.8215758800507
llm_gpt4o_mini_token_fallback,ciphered_words,amazon-google,0.6440520446096655,0.6226415094339622,0.6331658291457287,693,383,420,1113,1113,1076,0.8043683999999992,2119.9945480823517
llm_gpt4o_mini_token_fallback,scrambled,amazon-google,0.7214953271028037,0.6936208445642408,0.707283554741182,772,298,341,1113,1113,1070,0.9839671499999993,4852.901310920715
llm_haiku,ciphered_letters,amazon-google,0.7610062893081762,0.3261455525606469,0.45660377358490567,363,114,750,1113,1113,477,8.3205568,5871.491722106934
llm_haiku,ciphered_words,amazon-google,0.8108974358974359,0.4546271338724169,0.5826137017846863,506,118,607,1113,1113,624,5.194367999999994,4630.381965875626
llm_haiku,original,amazon-google,0.9031963470319635,0.8885893980233602,0.8958333333333334,989,106,124,1113,1113,1095,3.873449600000002,3263.6139981746674
