dataset,method,transformation,precision,recall,f1,tau
abt-buy,jaro_winkler,original,0.26570048309178745,0.05087881591119334,0.08540372670807454,0.8
abt-buy,jaro_winkler,ciphered_letters,0.26570048309178745,0.05087881591119334,0.08540372670807454,0.8
abt-buy,jaro_winkler,ciphered_words,0.10133333333333333,0.03515263644773358,0.05219780219780219,0.8
abt-buy,jaro_winkler,scrambled,0.2524752475247525,0.04717853839037928,0.07950116913484022,0.8
abt-buy,levenshtein,original,0.17139959432048682,0.15633672525439407,0.16352201257861634,0.25
abt-buy,levenshtein,ciphered_letters,0.17139959432048682,0.15633672525439407,0.16352201257861634,0.25
abt-buy,levenshtein,ciphered_words,0.1597542242703533,0.09620721554116558,0.12009237875288684,0.3
abt-buy,levenshtein,scrambled,0.19716646989374262,0.15448658649398705,0.17323651452282157,0.25
abt-buy,llm,original,0.966900702106319,0.8917668825161887,0.9278152069297402,0.05
abt-buy,llm,ciphered_letters,0.8493449781659389,0.7197039777983348,0.7791687531296946,0.65
abt-buy,llm,ciphered_words,0.6560232220609579,0.4181313598519889,0.5107344632768361,0.6
abt-buy,llm,scrambled,0.746922024623803,0.5050878815911193,0.6026490066225164,0.8
abt-buy,monge_elkan,original,0.5252032520325203,0.29879740980573544,0.38089622641509435,0.75
abt-buy,monge_elkan,ciphered_letters,0.5252032520325203,0.29879740980573544,0.38089622641509435,0.75
abt-buy,monge_elkan,ciphered_words,0.3274647887323944,0.25809435707678074,0.2886704604242111,0.75
abt-buy,monge_elkan,scrambled,0.4154013015184382,0.35430157261794637,0.38242636045931105,0.7
abt-buy,openai_embeddings,original,0.799074074074074,0.7983348751156337,0.7987043035631651,0.5
abt-buy,openai_embeddings,ciphered_letters,0.42048780487804877,0.3987049028677151,0.40930674264007594,0.75
abt-buy,openai_embeddings,ciphered_words,0.4320388349514563,0.4116558741905643,0.4216011369019422,0.65
abt-buy,openai_embeddings,scrambled,0.5132075471698113,0.5032377428307123,0.5081737505838394,0.6
abt-buy,sentence_transformer,original,0.6287037037037037,0.6281221091581869,0.6284127718648773,0.45
abt-buy,sentence_transformer,ciphered_letters,0.1805094130675526,0.150786308973173,0.16431451612903228,0.75
abt-buy,sentence_transformer,ciphered_words,0.4294187425860024,0.3348751156336725,0.37629937629937626,0.65
abt-buy,sentence_transformer,scrambled,0.41408114558472553,0.3209990749306198,0.361646690984888,0.65
abt-buy,tfidf,original,0.761595547309833,0.759481961147086,0.7605372857804539,0.15
abt-buy,tfidf,ciphered_letters,0.7490706319702602,0.7456059204440333,0.747334260547056,0.15
abt-buy,tfidf,ciphered_words,0.7534883720930232,0.7493061979648473,0.75139146567718,0.15
abt-buy,tfidf,scrambled,0.7481412639405205,0.7446808510638298,0.7464070468242929,0.15
abt-buy,soft_tfidf_REAL,original,0.7419056429232193,0.7419056429232193,0.7419056429232193,0.05
abt-buy,soft_tfidf_REAL,ciphered_letters,0.7337057728119181,0.72895467160037,0.7313225058004641,0.2
abt-buy,soft_tfidf_REAL,ciphered_words,0.7435185185185185,0.7428307123034228,0.7431744562702453,0.15
abt-buy,soft_tfidf_REAL,scrambled,0.762962962962963,0.7622571692876966,0.7626099028227672,0.15
amazon-google,jaro_winkler,original,0.5635294117647058,0.4303683737646002,0.48802852776362704,0.7
amazon-google,jaro_winkler,ciphered_letters,0.5635294117647058,0.4303683737646002,0.48802852776362704,0.7
amazon-google,jaro_winkler,ciphered_words,0.5635491606714629,0.4222821203953279,0.48279404211607596,0.7
amazon-google,jaro_winkler,scrambled,0.5633802816901409,0.431266846361186,0.4885496183206107,0.7
amazon-google,levenshtein,original,0.6838046272493573,0.4779874213836478,0.5626652564780539,0.45
amazon-google,levenshtein,ciphered_letters,0.6838046272493573,0.4779874213836478,0.5626652564780539,0.45
amazon-google,levenshtein,ciphered_words,0.6013437849944009,0.48247978436657685,0.5353938185443669,0.4
amazon-google,levenshtein,scrambled,0.5972359328726555,0.5435759209344115,0.5691439322671684,0.35
amazon-google,llm,original,0.8758901322482198,0.7735849056603774,0.8215648854961832,0.8
amazon-google,llm,ciphered_letters,0.7340569877883311,0.48607367475292,0.5848648648648648,0.85
amazon-google,llm,ciphered_words,0.7824074074074074,0.4555256064690027,0.575809199318569,0.05
amazon-google,llm,scrambled,0.7569659442724458,0.4393530997304582,0.5559977259806709,0.75
amazon-google,monge_elkan,original,0.7934224049331963,0.6936208445642408,0.7401725790987536,0.8
amazon-google,monge_elkan,ciphered_letters,0.7934224049331963,0.6936208445642408,0.7401725790987536,0.8
amazon-google,monge_elkan,ciphered_words,0.7632696390658175,0.6460017969451932,0.699756690997567,0.8
amazon-google,monge_elkan,scrambled,0.7917098445595855,0.6864330637915543,0.7353224254090471,0.8
amazon-google,openai_embeddings,original,0.8028802880288028,0.8014375561545373,0.802158273381295,0.4
amazon-google,openai_embeddings,ciphered_letters,0.6526217228464419,0.6262353998203055,0.6391563502980285,0.65
amazon-google,openai_embeddings,ciphered_words,0.7259615384615384,0.6783468104222821,0.7013469577333953,0.5
amazon-google,openai_embeddings,scrambled,0.7356746765249538,0.7151841868823001,0.7252847380410024,0.5
amazon-google,sentence_transformer,original,0.7586206896551724,0.7511230907457322,0.7548532731376975,0.4
amazon-google,sentence_transformer,ciphered_letters,0.6629098360655737,0.5813117699910153,0.6194351364289133,0.7
amazon-google,sentence_transformer,ciphered_words,0.7091787439613526,0.6594788858939802,0.6834264432029794,0.5
amazon-google,sentence_transformer,scrambled,0.6768676867686768,0.6756513926325247,0.6762589928057553,0.4
amazon-google,tfidf,original,0.8084532374100719,0.8077268643306379,0.8080898876404493,0.05
amazon-google,tfidf,ciphered_letters,0.8084532374100719,0.8077268643306379,0.8080898876404493,0.05
amazon-google,tfidf,ciphered_words,0.8075539568345323,0.8068283917340521,0.8071910112359549,0.05
amazon-google,tfidf,scrambled,0.8084532374100719,0.8077268643306379,0.8080898876404493,0.05
amazon-google,soft_tfidf_REAL,original,0.6495956873315364,0.6495956873315364,0.6495956873315364,0.05
amazon-google,soft_tfidf_REAL,ciphered_letters,0.6495956873315364,0.6495956873315364,0.6495956873315364,0.05
amazon-google,soft_tfidf_REAL,ciphered_words,0.6818181818181818,0.6738544474393531,0.6778129236330773,0.2
amazon-google,soft_tfidf_REAL,scrambled,0.6828391734052112,0.6828391734052112,0.6828391734052112,0.05
