dataset,method,transformation,f1_mean,f1_std,precision,recall
amazon-google,levenshtein,ciphered_words,0.5316658072667779,0.04669906026560415,0.5876365262640906,0.48609057487981255
amazon-google,levenshtein,scrambled,0.568789779167514,0.05355093985423342,0.5966318993032742,0.5435866359633177
amazon-google,llm,original,0.8208859692055646,0.035568306322602286,0.8745399770848941,0.7735587605542762
amazon-google,llm,ciphered_letters,0.5818906481311992,0.03827493494587673,0.722864361266756,0.48788429685290674
amazon-google,llm,ciphered_words,0.5757390780350089,0.026932609135338615,0.7829689175945861,0.45556498202238116
amazon-google,llm,scrambled,0.5554998744840887,0.03231539810350833,0.7566432872682872,0.43938916494970315
amazon-google,monge_elkan,original,0.7398768335601227,0.04340507121611889,0.7929668397662095,0.693641174807094
amazon-google,monge_elkan,ciphered_letters,0.7398768335601227,0.04340507121611889,0.7929668397662095,0.693641174807094
amazon-google,monge_elkan,ciphered_words,0.6997190414972471,0.03887551052932229,0.7635944868636854,0.646010584575607
amazon-google,monge_elkan,scrambled,0.7351109537215291,0.038398060470035154,0.7913975034430812,0.6864460873429483
amazon-google,openai_embeddings,original,0.8021839323073767,0.028458252375936115,0.8029248979921626,0.801446289338666
amazon-google,openai_embeddings,ciphered_letters,0.6391275200849897,0.03817090404560516,0.65258977764584,0.626239243728033
amazon-google,openai_embeddings,ciphered_words,0.7000397863961128,0.018967157148055292,0.7234323712226284,0.6783824182927322
amazon-google,openai_embeddings,scrambled,0.7225840107529209,0.03474239077789313,0.7292718973023644,0.7160748192138328
amazon-google,sentence_transformer,original,0.7548732046142748,0.03958247604427782,0.7586554090986001,0.7511453157193066
amazon-google,sentence_transformer,ciphered_letters,0.6172449872208813,0.05038039710431766,0.6536880064380064,0.5848988001454369
amazon-google,sentence_transformer,ciphered_words,0.6833364003840849,0.04435247126906632,0.7090267188680541,0.65949177877429
amazon-google,sentence_transformer,scrambled,0.6750589763515114,0.03609583303467738,0.6762904067529659,0.673849634387751
amazon-google,tfidf,original,0.808060030391464,0.03040005439505023,0.8084216127740262,0.8077000767583726
amazon-google,tfidf,ciphered_letters,0.808060030391464,0.03040005439505023,0.8084216127740262,0.8077000767583726
amazon-google,tfidf,ciphered_words,0.8071611357685718,0.038480024434779284,0.8075206753128146,0.8068032157718257
amazon-google,tfidf,scrambled,0.808060030391464,0.03040005439505023,0.8084216127740262,0.8077000767583726
amazon-google,soft_tfidf,original,0.6492223164868904,0.029539285222294764,0.6497726405666263,0.6486769280491254
amazon-google,soft_tfidf,ciphered_letters,0.6492223164868904,0.029539285222294764,0.6497726405666263,0.6486769280491254
amazon-google,soft_tfidf,ciphered_words,0.676258453486821,0.02165288678357656,0.6787058267226067,0.6738577142164586
amazon-google,soft_tfidf,scrambled,0.6828263240819294,0.01977315847783862,0.6828263240819294,0.6828263240819294
